time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-19T19:47:57.000Z,18.9414,-64.931,44,3,Md,4,252,0.60456619,0.05,pr,pr15292007,2015-10-20T03:50:33.672Z,"66km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-10-19T19:46:30.670Z,44.4035,-114.123,4.47,2.5,ml,,60,0.523,0.7,us,us10003pru,2015-10-20T03:49:10.150Z,"14km SE of Challis, Idaho",earthquake
2015-10-19T19:35:59.400Z,17.4447,-64.9244,15,3.1,Md,8,284.4,0.34046149,0.23,pr,pr15292006,2015-10-20T03:38:34.639Z,"41km SW of Christiansted, U.S. Virgin Islands",earthquake
2015-10-19T17:57:01.610Z,-30.66,-71.5832,40.65,4.1,mb,,87,0.046,1.35,us,us10003pr8,2015-10-20T02:00:22.868Z,"37km W of Ovalle, Chile",earthquake
2015-10-19T15:42:09.500Z,36.8989,-97.6529,5,3.2,ml,,38,,0.4,us,us10003prb,2015-10-20T02:25:55.061Z,"12km NE of Medford, Oklahoma",earthquake
2015-10-19T14:37:51.950Z,-33.4845,-70.8617,79.17,4.7,mb,,54,0.138,0.65,us,us10003pni,2015-10-20T18:35:19.695Z,"13km WSW of Lo Prado, Chile",earthquake
2015-10-19T14:30:58.840Z,-7.8824,102.3826,10,5,mb,,45,3.545,0.92,us,us10003pnf,2015-10-19T22:33:41.030Z,"Southwest of Sumatra, Indonesia",earthquake
2015-10-19T14:17:05.200Z,28.8962,63.9003,99.87,4.7,mb,,98,5.653,0.86,us,us10003pnd,2015-10-19T22:19:43.726Z,"49km W of Dalbandin, Pakistan",earthquake
2015-10-19T13:50:41.550Z,13.8566,120.6126,106,5.8,mwb,,28,8.924,1.01,us,us10003pnb,2015-10-20T15:21:40.000Z,"2km WSW of Balitoc, Philippines",earthquake
2015-10-19T13:21:16.710Z,36.4766,71.1673,97.53,4.7,mb,,75,0.803,0.86,us,us10003pna,2015-10-19T21:25:15.897Z,"39km SW of Ashkasham, Afghanistan",earthquake
2015-10-19T12:09:01.570Z,36.244,-97.4427,5,2.6,mb_lg,,28,0.446,0.52,us,us10003pn5,2015-10-19T12:53:47.124Z,"14km WSW of Perry, Oklahoma",earthquake
2015-10-19T11:31:38.600Z,-21.0516,-178.9474,621.81,4.5,mb,,74,4.34,1.04,us,us10003pn1,2015-10-19T19:34:08.695Z,"51km SSW of Ndoi Island, Fiji",earthquake
2015-10-19T11:09:04.490Z,37.0449,-97.9106,7.15,2.6,mb_lg,,37,0.07,0.48,us,us10003pmv,2015-10-19T21:27:22.640Z,"16km SE of Anthony, Kansas",earthquake
2015-10-19T11:00:16.180Z,34.0885,-116.8068333,6.67,2.66,ml,97,18,0.05322,0.13,ci,ci37478064,2015-10-19T22:29:27.380Z,"19km N of Cabazon, California",earthquake
2015-10-19T09:03:44.000Z,54.5578,-160.8686,23.6,2.6,ml,,,,0.76,ak,ak11742997,2015-10-19T17:57:28.655Z,"88km WSW of Chernabura Island, Alaska",earthquake
2015-10-19T08:51:03.000Z,17.8365,-67.6075,5,2.6,Md,8,291.6,0.50305656,0.44,pr,pr15292003,2015-10-19T17:04:29.257Z,"47km WSW of Pole Ojea, Puerto Rico",earthquake
2015-10-19T07:20:16.300Z,24.8117,122.0158,6.25,4.9,mb,,81,0.497,0.39,us,us10003plj,2015-10-19T15:52:56.040Z,"27km ENE of Yilan, Taiwan",earthquake
2015-10-19T06:49:03.450Z,36.2316667,-120.8003333,8.25,2.92,md,87,142,0.01575,0.09,nc,nc72540320,2015-10-19T23:03:05.617Z,"29km E of King City, California",earthquake
2015-10-19T05:57:23.500Z,18.7355,-67.6396,32,3.2,Md,13,306,0.38088568,0.47,pr,pr15292002,2015-10-19T13:59:59.890Z,"60km NW of Rincon, Puerto Rico",earthquake
2015-10-19T05:42:12.950Z,24.7879,122.0099,10,4.9,mb,,40,0.501,0.69,us,us10003pld,2015-10-19T15:48:01.040Z,"26km E of Yilan, Taiwan",earthquake
2015-10-19T05:22:51.320Z,36.7253,-98.0493,5,2.9,mb_lg,,55,0.101,0.56,us,us10003pl9,2015-10-19T13:25:30.817Z,"27km E of Cherokee, Oklahoma",earthquake
2015-10-19T04:55:29.500Z,36.7101,-97.8194,4.77,3.5,mb_lg,,18,0.127,0.46,us,us10003pl4,2015-10-19T11:12:35.476Z,"13km SW of Medford, Oklahoma",earthquake
2015-10-19T04:37:13.150Z,-30.3039,-72.2322,10,4.5,mwr,,88,0.633,0.96,us,us10003pl1,2015-10-19T12:39:48.250Z,"94km WSW of Coquimbo, Chile",earthquake
2015-10-19T04:06:02.000Z,51.8629,-178.1217,4.4,3.7,ml,,,,0.67,ak,ak11742870,2015-10-20T23:11:08.565Z,"2km SSE of Tanaga Volcano, Alaska",earthquake
2015-10-19T03:14:15.620Z,37.0582,-97.9155,7.49,2.9,mb_lg,,37,0.061,0.52,us,us10003pks,2015-10-19T20:55:17.240Z,"14km SE of Anthony, Kansas",earthquake
2015-10-19T02:41:00.670Z,-34.7992,-71.6758,45.29,4.5,mb,,133,0.296,0.38,us,us10003pkk,2015-10-19T18:06:11.168Z,"33km WSW of Santa Cruz, Chile",earthquake
2015-10-19T02:17:36.780Z,24.8261,122.0513,10,5.3,mwr,,43,0.524,1.14,us,us10003pkj,2015-10-20T16:31:02.000Z,"31km ENE of Yilan, Taiwan",earthquake
2015-10-19T00:13:24.800Z,19.5013,-66.2677,13,2.9,Md,12,280.8,1.04743562,0.18,pr,pr15292000,2015-10-19T08:16:08.448Z,"114km N of Brenas, Puerto Rico",earthquake
2015-10-19T00:08:50.770Z,37.1256,-97.5983,8.78,3,mb_lg,,29,0.019,0.63,us,us10003pk9,2015-10-19T20:47:38.170Z,"10km N of Caldwell, Kansas",earthquake
2015-10-18T23:29:13.000Z,57.3,-154.0678,38.8,3.1,ml,,,,0.68,ak,ak11742825,2015-10-19T07:32:02.703Z,"27km SSW of Larsen Bay, Alaska",earthquake
2015-10-18T22:31:28.150Z,37.7898333,-121.9643333,8.62,3.26,mw,131,55,0.005574,0.14,nc,nc72540130,2015-10-20T05:16:13.388Z,"1km NE of San Ramon, California",earthquake
2015-10-18T21:54:16.490Z,37.5950012,-118.8833313,1.89,2.84,md,34,88,0.0289,0.05,nc,nc72540075,2015-10-19T05:57:01.108Z,"10km SE of Mammoth Lakes, California",earthquake
2015-10-18T21:42:38.460Z,37.2136667,-97.9818333,4.68,2.74,ml,20,71,0.01566,0.05,ismpkansas,ismpkansas70145323,2015-10-19T20:39:24.913Z,"7km NNE of Anthony, Kansas",earthquake
2015-10-18T20:51:28.000Z,57.6381,-153.9271,45.1,3.5,ml,,,,1.12,ak,ak11742690,2015-10-19T04:54:02.358Z,"11km NNE of Larsen Bay, Alaska",earthquake
2015-10-18T19:37:30.790Z,-23.4703,-179.7995,517.29,4.4,mb,,114,6.041,0.84,us,us10003pje,2015-10-19T03:40:08.904Z,"South of the Fiji Islands",earthquake
2015-10-18T19:25:38.510Z,37.7874985,-121.9671631,8.62,2.62,md,49,54,0.07402,0.12,nc,nc72539965,2015-10-18T22:46:03.899Z,"1km NE of San Ramon, California",earthquake
2015-10-18T19:16:23.920Z,37.2483,-97.9995,5.54,2.7,mb_lg,,73,0.031,0.67,us,us10003pj8,2015-10-19T20:25:14.180Z,"4km SSE of Harper, Kansas",earthquake
2015-10-18T18:49:57.080Z,37.7866669,-121.9690018,8.09,2.53,md,23,57,0.07444,0.08,nc,nc72539935,2015-10-18T22:41:18.964Z,"1km NE of San Ramon, California",earthquake
2015-10-18T18:32:35.480Z,-5.1593,153.0629,44.88,4.8,mb,,102,1.314,0.79,us,us10003pj3,2015-10-19T02:35:06.888Z,"76km S of Taron, Papua New Guinea",earthquake
2015-10-18T18:17:25.260Z,-16.1254,-173.4423,10,5.1,mb,,51,18.64,1.09,us,us10003pj2,2015-10-19T02:20:04.247Z,"38km ESE of Hihifo, Tonga",earthquake
2015-10-18T17:51:32.130Z,-16.1824,-173.3729,10,4.8,mb,,101,4.367,0.76,us,us10003pix,2015-10-19T01:54:14.044Z,"47km ESE of Hihifo, Tonga",earthquake
2015-10-18T16:23:37.590Z,-16.1775,-173.3096,10,5.1,mb,,63,20,0.89,us,us10003pig,2015-10-19T00:26:16.116Z,"53km ESE of Hihifo, Tonga",earthquake
2015-10-18T16:18:35.030Z,-16.2546,-173.1851,10,5.9,mwb,,23,4.185,1.03,us,us10003pie,2015-10-19T15:29:54.040Z,"69km ESE of Hihifo, Tonga",earthquake
